diamond_id,size,color,fancy_color_dominant_color,fancy_color_secondary_color,fancy_color_overtone,fancy_color_intensity,clarity,cut,symmetry,polish,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,culet_size,culet_condition,fluor_color,fluor_intensity,lab,total_sales_price,eye_clean,date
570114148,16.34,I,Brown,Brown,Orangey,Fancy,I3,Excellent,Fair,Poor,8.9,1.6,13.76,10.0,3.33,STN,XTN,VL,White,Green,Strong,HRD,1237126,Borderline,2016-02-21
691931699,3.55,K,Yellow,Chameleon,Orangey,Fancy Intense,IF,Poor,Good,Very Good,9.3,0.7,8.59,11.26,12.33,VTK,VTK,S,Blue,Green,Very Strong,GIA,1295283,Borderline,2015-03-20
466172320,18.51,F,Orange,Chameleon,Orangey,Fancy Light,VVS1,Good,Poor,Very Good,6.8,3.2,5.16,5.12,10.4,VTK,XTN,L,White,Blue,Strong,IGI,1183449,Borderline,2004-05-28
639399974,2.26,G,Green,Chameleon,Purplish,Fancy Light,VVS1,Good,Very Good,Good,5.3,5.2,9.44,16.66,16.1,VTK,XTN,S,Yellow,Green,Slight,HRD,1147571,No,2022-09-24
419952848,11.95,J,Purple,Pink,Orangey,Fancy Light,SI1,Very Good,Fair,Fair,2.2,5.9,7.26,13.28,4.45,STN,STN,L,Orange,Yellow,Strong,GIA,93370,Yes,2007-05-15
718561618,5.16,I,Yellow,Brown,Purplish,Faint,IF,Fair,Excellent,Fair,8.5,3.2,9.79,8.81,2.96,TK,VTN,S,Orange,Blue,Medium,HRD,475815,No,2021-10-05
762580981,0.61,H,Blue,Orange,Grayish,Light,I2,Fair,Good,Very Good,4.2,3.5,3.03,11.08,15.09,STN,M,VS,Yellow,Yellow,Faint,IGI,475626,E1,2020-03-17
817837339,13.63,L,Green,Blue,Pinkish,Light,I3,Excellent,Poor,Good,2.8,6.3,16.86,15.35,4.5,STK,STN,M,Yellow,Orange,Faint,GIA,360658,Yes,2006-05-10
228645143,17.41,F,Orange,Brown,Brownish,Fancy Intense,SI2,Good,Good,Fair,9.2,4.2,13.37,5.27,4.78,TK,XTN,EL,Green,Green,Faint,GIA,772954,No,2011-08-06
182069313,3.83,K,Red,Chameleon,Purplish,Fancy Vivid,VS1,Good,Excellent,Poor,1.1,1.9,14.26,7.22,14.56,STN,XTN,VL,Orange,Blue,Very Slight,HRD,898164,Borderline,2005-07-12
861191622,5.83,I,Blue,Chameleon,Orangey,Faint,I3,Excellent,Excellent,Very Good,3.3,7.2,14.41,6.21,12.08,VTK,VTK,S,Orange,White,Strong,HRD,1014340,Yes,2014-10-18
568482584,17.94,J,Gray,Green,Pinkish,Light,VVS1,Good,Very Good,Excellent,0.6,2.6,11.0,12.59,13.87,VTK,XTN,VS,White,Green,Very Strong,IGI,1215168,E1,2004-04-30
657962699,14.44,E,Black,Pink,Orangey,Fancy Intense,VS1,Poor,Excellent,Poor,3.6,8.7,14.8,13.58,8.03,XTK,XTN,VL,White,Yellow,Medium,IGI,115592,Borderline,2006-09-14
952876228,9.06,L,Gray,Black,Greenish,Fancy,SI1,Fair,Very Good,Good,3.9,2.9,15.8,3.26,4.85,M,VTN,S,Yellow,Blue,Faint,HRD,1419354,Yes,2018-11-02
307228897,13.79,K,Purple,Yellow,Greenish,Very Light,IF,Good,Fair,Poor,1.3,4.1,15.84,3.33,7.34,VTN,VTN,S,Blue,White,Strong,GIA,886279,No,2019-09-30
201950582,7.21,I,Black,Red,Greenish,Fancy Light,I1,Good,Excellent,Fair,8.4,3.6,6.29,12.55,16.38,M,STN,S,White,Blue,Strong,IGI,837645,Yes,2014-12-27
501638055,4.47,L,Blue,Brown,Grayish,Fancy,I2,Poor,Fair,Poor,2.2,3.5,8.57,11.22,11.03,XTN,STK,EL,Green,Yellow,Very Strong,GIA,1336126,No,2007-05-18
559244923,3.03,F,Other,Red,Grayish,Fancy,SI3,Poor,Fair,Good,9.0,7.8,11.67,5.86,12.23,XTN,STK,M,White,White,Slight,HRD,363038,E1,2007-04-29
105170092,17.26,D,Black,Brown,Grayish,Fancy Dark,I2,Fair,Good,Excellent,1.9,4.5,6.28,6.4,8.86,STN,STK,N,Orange,Yellow,Very Slight,HRD,1203904,E1,2004-10-25
774058664,12.07,M,Brown,Gray,Purplish,Fancy Vivid,VS2,Very Good,Poor,Fair,8.4,4.8,11.0,13.12,10.17,TN,TK,VL,Orange,Blue,Very Slight,GIA,1315313,E1,2005-03-22
729311280,5.01,I,Orange,Other,Pinkish,Very Light,VVS2,Poor,Good,Poor,5.1,2.8,8.96,6.63,5.15,XTK,STN,S,White,Yellow,Strong,IGI,654484,Yes,2018-09-16
192386123,13.06,G,Orange,Gray,Brownish,Fancy,IF,Excellent,Excellent,Very Good,7.8,8.6,13.09,15.96,9.6,VTN,XTK,VS,Orange,White,Very Strong,HRD,1413177,Borderline,2020-09-27
305351575,17.34,E,Yellow,Chameleon,Grayish,Fancy Light,VVS2,Fair,Fair,Very Good,5.2,7.8,11.61,13.64,13.35,XTK,XTK,VS,Green,Green,Very Slight,GIA,175533,Borderline,2016-06-09
828991344,15.38,D,Green,Orange,Grayish,Fancy,IF,Fair,Poor,Good,6.8,5.4,6.93,8.13,7.82,STN,STN,L,Yellow,White,Strong,GIA,257631,Yes,2017-02-25
882100511,15.0,E,Green,Pink,Orangey,Fancy,I3,Fair,Very Good,Poor,9.6,2.3,3.15,5.61,16.13,TK,VTN,N,Orange,Green,Very Strong,GIA,599136,Yes,2013-05-19
765687335,16.88,I,Blue,Gray,Pinkish,Fancy Light,VVS2,Good,Poor,Very Good,5.5,5.5,16.52,11.26,8.52,VTN,TN,EL,Green,Blue,Very Slight,GIA,25661,E1,2018-02-05
650869674,17.73,J,Yellow,Orange,Yellowish,Fancy Light,I2,Very Good,Fair,Good,8.1,3.3,16.74,12.54,6.54,STN,STN,S,Green,Orange,Very Strong,HRD,136866,E1,2017-10-19
757632815,2.02,E,Yellow,Green,Grayish,Fancy Vivid,VVS1,Fair,Excellent,Very Good,2.6,1.2,10.47,2.9,11.14,TK,VTK,S,Blue,Green,Strong,GIA,155542,No,2007-07-22
840155904,18.73,G,Gray,Pink,Grayish,Fancy,I1,Good,Very Good,Fair,9.3,6.6,4.86,11.31,17.0,XTN,TN,SL,White,Blue,Very Slight,GIA,1136641,Borderline,2020-10-18
372802718,15.53,K,Brown,Chameleon,Greenish,Fancy Dark,VVS1,Good,Good,Fair,2.4,2.0,7.75,8.3,4.58,M,XTN,VL,Green,White,Slight,IGI,429909,Borderline,2007-01-14
290403735,2.32,E,Blue,Chameleon,Brownish,Fancy Vivid,IF,Poor,Excellent,Good,5.8,4.4,6.68,14.22,9.39,XTK,XTK,VL,Blue,Orange,Very Slight,IGI,776365,Borderline,2014-11-04
697495037,3.71,G,Brown,Purple,Orangey,Fancy Vivid,SI2,Poor,Good,Excellent,7.8,0.4,8.88,13.89,5.71,TN,XTK,VS,Orange,White,Slight,GIA,705292,Borderline,2014-01-04
458188242,10.43,J,Pink,Pink,Grayish,Very Light,SI1,Poor,Poor,Poor,4.1,7.9,12.92,8.74,10.46,VTN,STK,N,White,Green,Strong,IGI,628717,No,2005-01-30
252045047,5.82,I,Purple,Other,Greenish,Fancy Light,VS1,Poor,Good,Excellent,0.7,7.4,13.51,7.36,7.95,VTK,STN,EL,White,Green,Medium,IGI,978744,No,2009-11-08
611956867,14.08,K,Green,Red,Purplish,Fancy Light,IF,Very Good,Poor,Poor,5.0,4.9,13.24,3.83,14.92,XTK,M,SL,Yellow,Yellow,Very Strong,GIA,443475,Yes,2012-09-12
172880899,7.92,E,Chameleon,Gray,Orangey,Fancy Dark,I2,Good,Excellent,Very Good,9.3,8.7,13.98,15.67,7.59,M,STK,M,Blue,Orange,Very Strong,HRD,700588,Yes,2010-08-08
348223104,14.71,F,Brown,Other,Grayish,Fancy Intense,SI1,Excellent,Good,Excellent,2.2,5.3,15.36,15.05,7.38,XTK,TK,SL,Green,Yellow,Slight,HRD,643184,E1,2018-04-16
261360327,11.91,H,Blue,Gray,Orangey,Fancy Light,IF,Good,Very Good,Very Good,0.8,6.3,12.6,14.49,12.12,XTK,STK,EL,White,Blue,Medium,HRD,251048,No,2019-04-07
652704220,17.06,M,Other,Red,Purplish,Fancy Light,I2,Poor,Excellent,Poor,3.9,9.3,10.34,12.75,2.97,STK,STK,SL,Green,Blue,Faint,IGI,1129337,Borderline,2010-03-31
859696644,1.74,E,Gray,Gray,Greenish,Light,VVS2,Poor,Very Good,Fair,8.0,4.1,9.58,11.59,8.74,VTN,XTN,S,White,Yellow,Slight,GIA,1236227,Yes,2022-01-27
359323497,18.0,E,Orange,Green,Purplish,Very Light,I3,Good,Good,Good,8.2,9.2,5.47,7.7,6.03,STN,M,VS,Blue,White,Faint,HRD,1363143,Borderline,2017-05-15
771706187,18.32,H,Other,Black,Yellowish,Very Light,VVS1,Fair,Excellent,Good,8.2,2.7,6.29,11.22,12.34,STK,TN,EL,Blue,Yellow,Slight,IGI,37128,No,2019-02-26
817331445,11.54,K,Pink,Purple,Brownish,Fancy Deep,I3,Very Good,Excellent,Good,6.2,1.1,13.39,13.64,15.39,TK,TK,M,Orange,Blue,Very Strong,HRD,142280,E1,2023-04-06
638786994,7.05,M,Red,Purple,Greenish,Fancy Dark,I1,Fair,Fair,Fair,0.3,7.0,6.69,3.49,11.2,VTN,STK,N,Blue,Blue,Medium,IGI,865469,Borderline,2006-03-18
662031681,2.35,E,Yellow,Other,Yellowish,Light,SI1,Fair,Very Good,Excellent,3.1,2.1,3.65,4.88,4.53,VTK,VTN,VS,Orange,Yellow,Very Strong,IGI,42037,No,2012-02-23
545082149,5.62,E,Purple,Purple,Orangey,Fancy,VVS2,Very Good,Excellent,Fair,5.3,1.3,13.36,7.11,16.1,TK,TN,N,Yellow,Orange,Faint,IGI,237248,Borderline,2011-03-26
479908902,12.89,H,Chameleon,Orange,Orangey,Fancy Light,I2,Very Good,Good,Very Good,8.8,9.0,5.1,14.2,15.17,M,TN,VL,Blue,Blue,Very Slight,IGI,857802,Borderline,2013-07-22
208271786,18.36,J,Red,Green,Brownish,Fancy,VVS1,Very Good,Poor,Good,7.4,1.1,16.65,6.92,15.66,VTK,VTK,VL,Blue,Orange,Faint,IGI,1367932,Borderline,2005-03-10
482138249,17.28,H,Yellow,Red,Yellowish,Fancy,I1,Good,Excellent,Excellent,8.5,6.1,3.97,16.58,4.94,XTK,M,EL,White,Yellow,Strong,HRD,219201,Yes,2010-01-07
345524781,11.51,F,Gray,Chameleon,Yellowish,Light,VS1,Good,Fair,Excellent,0.5,6.7,16.63,11.67,10.47,STK,TN,N,Green,Yellow,Strong,GIA,474140,No,2019-05-30
502520207,18.49,F,Yellow,Blue,Yellowish,Fancy Dark,VVS1,Fair,Good,Poor,6.5,7.4,9.1,8.42,7.05,STK,VTK,VS,Green,Green,Slight,IGI,1285235,No,2022-08-26
293135967,8.26,G,Red,Other,Greenish,Light,I3,Fair,Very Good,Fair,5.9,2.3,13.96,10.06,7.83,XTK,STK,EL,Green,Blue,Very Strong,GIA,213286,E1,2020-07-07
430432989,12.83,G,Pink,Orange,Purplish,Fancy Light,VS1,Poor,Good,Poor,5.7,5.4,10.74,3.3,3.3,XTN,STN,EL,Green,Blue,Slight,HRD,1250452,Yes,2010-02-21
259855108,6.92,L,Gray,Brown,Greenish,Fancy Vivid,VS2,Excellent,Fair,Fair,6.5,5.7,2.94,16.94,4.19,XTN,STK,SL,White,Orange,Slight,IGI,955587,Borderline,2011-04-16
713924525,1.63,H,Other,Pink,Greenish,Fancy Intense,VVS1,Excellent,Excellent,Good,4.9,7.5,10.07,14.56,8.01,TK,STK,S,Blue,Blue,Very Slight,GIA,121021,Yes,2020-01-21
408336667,7.7,D,Other,Red,Brownish,Light,IF,Poor,Excellent,Poor,4.0,8.3,5.08,12.91,11.97,VTK,STN,L,Blue,Blue,Strong,GIA,1082038,Yes,2020-05-15
617617106,12.6,D,Brown,Pink,Grayish,Fancy Light,VS1,Poor,Excellent,Fair,7.4,5.2,15.04,13.47,10.68,XTN,STK,N,Blue,Orange,Slight,GIA,936020,Yes,2010-06-22
619304531,14.41,K,Purple,Pink,Pinkish,Fancy Dark,IF,Fair,Excellent,Excellent,5.4,7.0,3.3,17.02,5.87,VTN,XTK,VS,Green,Yellow,Medium,GIA,656744,Borderline,2016-11-16
321851249,0.42,D,Chameleon,Blue,Yellowish,Fancy Light,SI1,Poor,Fair,Very Good,7.3,4.8,14.57,3.22,9.82,VTK,XTK,VL,White,Yellow,Medium,IGI,1137866,E1,2006-02-09
738522061,1.04,I,Black,Black,Orangey,Fancy Intense,SI1,Excellent,Fair,Excellent,7.6,5.3,6.99,11.33,11.28,XTN,M,VL,Blue,Yellow,Faint,GIA,153011,No,2005-09-17
267921651,17.66,D,Pink,Purple,Orangey,Very Light,SI2,Excellent,Excellent,Excellent,6.9,7.0,12.67,7.14,5.29,STN,STK,SL,Blue,White,Slight,GIA,21308,Yes,2018-09-11
392395728,0.76,H,Blue,Pink,Grayish,Fancy,VVS1,Excellent,Good,Good,7.7,6.0,6.23,13.49,9.45,TK,VTK,M,White,Yellow,Very Strong,IGI,772624,No,2012-06-07
692928871,17.34,J,Red,Black,Pinkish,Light,SI3,Poor,Good,Very Good,9.7,1.0,3.0,12.42,6.19,TK,TN,EL,Blue,White,Slight,IGI,1017774,E1,2004-06-24
236019507,11.38,E,Red,Chameleon,Orangey,Light,VS1,Good,Poor,Very Good,8.9,8.6,8.04,9.2,9.13,XTK,XTN,N,White,Yellow,Faint,GIA,461059,Yes,2019-08-27
487088994,0.4,K,Chameleon,Chameleon,Pinkish,Fancy Vivid,IF,Fair,Fair,Fair,6.9,3.1,7.67,3.92,3.36,STN,STK,EL,Green,White,Strong,HRD,220201,Borderline,2020-04-29
825625313,3.63,F,Brown,Black,Pinkish,Fancy Dark,SI3,Excellent,Fair,Good,5.7,2.9,2.86,15.25,12.99,STK,TK,N,Orange,White,Very Slight,GIA,805804,Yes,2020-06-07
503407151,9.77,F,Pink,Blue,Pinkish,Fancy,VS1,Poor,Very Good,Very Good,3.5,9.0,13.15,6.41,8.68,VTN,TN,VS,Green,Blue,Very Slight,HRD,1074381,No,2005-12-22
650667919,17.19,G,Black,Black,Grayish,Fancy Deep,VS2,Fair,Fair,Very Good,0.3,7.2,4.78,14.36,16.06,STK,STN,VS,Yellow,Yellow,Faint,IGI,1290758,E1,2010-05-31
844290628,1.93,D,Orange,Green,Greenish,Light,VS1,Poor,Poor,Very Good,3.4,3.3,9.26,4.04,6.62,VTK,XTN,VS,Yellow,Orange,Slight,HRD,1104178,Borderline,2017-05-22
956370712,15.78,D,Black,Pink,Orangey,Very Light,SI1,Poor,Poor,Very Good,8.2,7.9,3.83,2.97,10.2,VTN,VTK,M,Green,Blue,Medium,IGI,490771,E1,2016-02-08
608882977,18.01,H,Chameleon,Purple,Purplish,Faint,SI3,Good,Very Good,Fair,7.2,0.3,7.75,16.72,9.75,VTN,VTK,VL,Blue,White,Strong,IGI,1320356,Borderline,2017-03-20
273332512,18.49,E,Gray,Black,Grayish,Very Light,SI3,Fair,Fair,Good,6.5,0.1,7.16,5.27,14.59,TN,TN,N,White,Yellow,Very Strong,IGI,594381,No,2009-02-08
726860501,15.33,F,Other,Pink,Orangey,Fancy Vivid,SI2,Very Good,Good,Very Good,2.4,3.5,15.42,11.07,14.79,VTN,STK,VS,Orange,Yellow,Slight,IGI,1316401,No,2014-02-10
727657764,18.37,H,Chameleon,Other,Orangey,Fancy Dark,IF,Excellent,Very Good,Very Good,6.7,5.0,9.96,6.23,11.76,XTK,VTK,M,Blue,Blue,Very Strong,GIA,1018770,E1,2018-12-22
895294231,13.57,K,Other,Brown,Grayish,Faint,I1,Very Good,Fair,Good,6.2,3.8,12.23,4.18,16.46,TK,VTN,SL,Yellow,Orange,Faint,IGI,493135,No,2009-01-02
653417251,17.94,F,Blue,Yellow,Pinkish,Faint,SI3,Very Good,Poor,Good,7.4,3.7,15.67,12.44,4.2,XTK,STN,VL,Yellow,Blue,Faint,IGI,620568,E1,2006-05-13
960786991,5.39,I,Pink,Red,Greenish,Faint,SI1,Excellent,Excellent,Very Good,6.5,8.0,10.3,15.31,15.24,STN,TK,SL,White,Yellow,Medium,GIA,1024960,E1,2018-12-03
173435075,0.86,M,Green,Blue,Pinkish,Faint,VS2,Excellent,Good,Fair,3.0,8.8,15.61,7.33,4.77,XTN,M,S,White,Green,Medium,HRD,1046556,Borderline,2014-03-24
408004605,10.55,E,Purple,Purple,Purplish,Light,VVS1,Fair,Excellent,Fair,6.8,0.4,5.99,16.19,6.5,XTK,VTN,L,Orange,Blue,Faint,HRD,996410,Yes,2010-09-19
130845705,13.54,J,Yellow,Orange,Purplish,Fancy Dark,I1,Fair,Fair,Poor,6.0,8.8,10.62,12.91,5.65,TN,M,L,Orange,White,Slight,HRD,877521,No,2005-12-08
139279426,4.44,E,Purple,Black,Purplish,Faint,SI1,Fair,Good,Fair,8.7,8.9,13.26,2.94,3.97,M,XTN,EL,Orange,Blue,Medium,HRD,846346,No,2008-04-01
839841690,13.76,L,Green,Chameleon,Grayish,Fancy Vivid,I1,Very Good,Excellent,Good,4.2,1.0,3.48,16.46,10.27,TK,M,S,Orange,Blue,Very Strong,HRD,152731,Borderline,2023-07-13
840738683,6.67,J,Blue,Blue,Pinkish,Light,VS2,Very Good,Poor,Poor,8.1,5.5,15.54,4.99,10.6,STK,XTK,N,Blue,Blue,Very Strong,HRD,452989,E1,2022-05-03
170058661,13.18,J,Black,Black,Brownish,Very Light,VS2,Very Good,Fair,Good,9.2,3.5,10.17,7.46,12.86,VTK,TN,M,White,Yellow,Medium,HRD,825169,Yes,2009-01-29
402794471,11.32,J,Pink,Gray,Greenish,Very Light,SI1,Good,Good,Poor,1.4,8.7,2.87,8.15,14.22,XTN,VTK,S,Yellow,Yellow,Strong,IGI,373863,E1,2005-09-07
358666950,0.21,L,Black,Black,Purplish,Fancy Vivid,IF,Excellent,Very Good,Very Good,9.7,7.7,3.91,3.57,12.3,XTN,TN,EL,Blue,Yellow,Faint,HRD,75081,No,2006-01-27
512053026,17.79,L,Yellow,Blue,Orangey,Very Light,SI3,Poor,Very Good,Very Good,1.4,2.9,9.92,6.35,4.4,TN,TK,M,White,Blue,Very Slight,GIA,857402,Yes,2015-07-20
828679161,14.17,J,Gray,Other,Brownish,Light,I3,Poor,Poor,Excellent,7.3,4.5,7.82,3.94,14.51,STN,XTN,L,Orange,White,Very Strong,GIA,610941,E1,2013-04-22
824931149,9.43,H,Blue,Red,Yellowish,Very Light,VVS2,Excellent,Poor,Excellent,4.3,6.7,7.72,9.02,11.85,VTK,XTK,M,Orange,Green,Medium,GIA,393385,Yes,2009-05-10
974805670,4.75,L,Green,Orange,Grayish,Very Light,VVS2,Good,Fair,Very Good,0.2,0.5,13.61,7.13,11.0,XTK,TN,VS,Green,Yellow,Very Slight,GIA,781906,E1,2022-10-24
433780634,10.42,G,Purple,Black,Purplish,Fancy Intense,SI2,Excellent,Fair,Excellent,3.6,3.7,5.41,16.0,4.76,VTK,STN,VS,Green,Blue,Very Strong,HRD,124838,Borderline,2014-02-06
538909547,11.47,E,Black,Purple,Purplish,Fancy Deep,SI2,Fair,Very Good,Fair,2.9,5.8,13.1,11.62,11.73,STK,STK,N,Green,Yellow,Very Strong,GIA,1186989,No,2009-01-22
122375747,14.47,K,Green,Black,Pinkish,Very Light,VS1,Poor,Good,Poor,4.4,4.0,14.52,14.38,7.13,XTK,XTK,M,Blue,Green,Very Slight,HRD,197143,E1,2015-03-20
633656236,3.6,G,Black,Orange,Greenish,Fancy Vivid,I2,Excellent,Very Good,Very Good,0.5,6.5,4.81,9.01,5.64,XTK,STN,M,Blue,Orange,Medium,IGI,537738,Yes,2020-10-17
